Nam,DanSo,PTThayDoi,ThayDoi,DiCu,TuoiTB,TiLeSinh,MatDo,PTDanThanhThi,DanThanhThi,PTTheGioi,TheGioi,Hang
2017,95414640,1.03,970440,-40000,30.8,1.96,308,34.7,33121357,1.27,7515284153,14
2016,94444200,1.07,996599,-40000,30.8,1.96,305,34.1,32247358,1.27,7432663275,14
2015,93447601,1.13,1017965,-40000,30,1.96,301,33.6,31371674,1.27,7349472099,14
2010,88357775,0.97,830792,-175500,29,1.93,285,30.6,27063643,1.28,6929725043,13
2005,84203817,0.96,783651,-154500,26,1.92,272,27.5,23174885,1.29,6519635850,13
2000,80285563,1.32,1017318,-43200,24,2.25,259,24.6,19715397,1.31,6126622121,13
1995,75198975,1.97,1397874,-78800,22,3.23,243,22.4,16866266,1.31,5735123084,13
1990,68209604,2.24,1432047,-66500,21,3.85,220,20.5,13957680,1.28,5309667699,13
1985,61049370,2.34,1335370,-65000,20,4.6,197,19.8,12061240,1.26,4852540569,13
1980,54372518,2.22,1128624,-162600,19,5.5,175,19.4,10566004,1.22,4439632465,15
1975,48729397,2.34,1064421,0,18,6.33,157,19,9236237,1.2,4061399228,17
1970,43407291,2.77,1109455,0,18,6.46,140,18.5,8012205,1.18,3682487691,17
1965,37860014,2.99,1037878,0,24,5.4,91,16.6,6267121,1.14,3322495121,18
1960,32670623,3.03,904568,0,22,6.16,105,14.8,4838108,1.08,3018343828,17
1955,28147785,2.56,667576,0,24,5.4,91,13.2,3709961,1.02,2758314525,18
